,total afiliación,titulares,dependientes,dependientes adicionales,aportes del gobierno central (rd$),valor pagado a senasa (rd$),año,mes
0,3476589,1563494,1733740,179355,669346479.0,681195942.7,2016,Enero
1,3455629,1562515,1714575,178539,711711000.0,680778701.48,2016,Febrero
2,3580871,1619765,1778698,182408,711711000.0,671867551.84,2016,Marzo
3,3560883,1613308,1765025,182550,711711000.0,672939685.34,2016,Abril
4,3600238,1622071,1793644,184523,711711000.0,677477459.38,2016,Mayo
5,3587880,1620394,1781914,185572,711711000.0,677578098.7,2016,Junio
6,3650225,1650673,1810379,189173,711711000.0,679510161.38,2016,Julio
7,3623022,1635632,1798535,188855,711711000.0,686404936.0,2016,Agosto
8,3674206,1646926,1836296,190984,711711000.0,686224618.28,2016,Septiembre
9,3676439,1658566,1826747,191126,711711000.0,688142465.86,2016,Octubre
10,3682179,1650991,1833677,197511,711711000.0,687872375.7,2016,Noviembre
11,3689816,1668163,1839469,182184,711711000.0,688611834.44,2016,Diciembre
12,3700190,1675458,1831931,192801,669346479.0,681195942.7,2016,Enero
13,3732647,1681428,1857649,193570,740877666.67,685905861.42,2017,Febrero
14,3756107,1693702,1868129,194276,740877666.67,867504789.78,2017,Marzo
15,3833001,1739587,1894567,198847,740877666.67,748518996.22,2017,Abril
16,3874914,1765821,1909504,199589,740877666.67,742373859.48,2017,Mayo
17,3884876,1755368,1929320,200188,740877666.67,738447894.3,2017,Junio
18,3884876,1755368,1929320,200188,740877666.67,738339763.78,2017,Julio
19,3935142,1783146,1950042,201954,740877666.67,734108667.34,2017,Agosto
20,3944455,1777670,1964947,201838,740877666.67,734469153.9,2017,Septiembre
21,3939935,1776069,1960091,203775,740877666.67,764541082.8,2017,Octubre
22,3976360,1791177,1980008,205175,740877666.67,771734876.34,2017,Noviembre
23,4020299,1819118,1995239,205942,740877666.67,788395559.54,2017,Diciembre
24,3993330,1799976,1986991,206363,740877666.67,788712477.44,2018,Enero
25,4020097,1802557,2010624,206916,778377666.67,806194473.72,2018,Febrero
