,año,total  (total ),total  (hombres),total  (mujeres),régimen subsidiado (total ),régimen subsidiado (hombres ),régimen subsidiado (mujeres ),régimen contributivo (total ),régimen contributivo (hombres ),régimen contributivo (mujeres )
1,2007.0,2559117.0,1272227.0,1286890.0,1081936.0,479821.0,602115.0,1477181.0,792406.0,684775.0
2,2008.0,2916902.0,1435763.0,1481139.0,1224643.0,545438.0,679205.0,1692259.0,890325.0,801934.0
3,2009.0,3492524.0,1694440.0,1798084.0,1404225.0,615631.0,788594.0,2088299.0,1078809.0,1009490.0
4,2010.0,4377869.0,2114762.0,2263107.0,2013786.0,904636.0,1109150.0,2364083.0,1210126.0,1153957.0
5,2011.0,4520850.0,2178591.0,2342259.0,2003427.0,899174.0,1104253.0,2517423.0,1279417.0,1238006.0
6,2012.0,4991762.0,2392155.0,2599607.0,2303351.0,1031367.0,1271984.0,2688411.0,1360788.0,1327623.0
7,2013.0,5652729.0,2705832.0,2946897.0,2751753.0,1243431.0,1508322.0,2900976.0,1462401.0,1438575.0
8,2014.0,6157245.0,2978843.0,3178402.0,3015646.0,1400518.0,1615128.0,3141599.0,1578325.0,1563274.0
9,2015.0,6657243.0,3247604.0,3409639.0,3317405.0,1572793.0,1744612.0,3339838.0,1674811.0,1665027.0
10,2016.0,6938356.0,3384848.0,3553508.0,3347068.0,1575598.0,1771470.0,3591288.0,1809250.0,1782038.0
11,2017.0,7449280.0,3655041.0,3794239.0,3546688.0,1677875.0,1868813.0,3902592.0,1977166.0,1925426.0
12,2018.0,7774137.0,3808361.0,3965776.0,3620150.0,1712181.0,1907969.0,4153987.0,2096180.0,2057807.0
13,2019.0,7954923.0,3884741.0,4070182.0,3726262.0,1758351.0,1967911.0,4228661.0,2126390.0,2102271.0
14,2020.0,9961742.0,4961110.0,5000632.0,5746839.0,2853424.0,2893415.0,4214903.0,2107686.0,2107217.0
15,2021.0,10032808.0,4997908.0,5034900.0,5747449.0,2856987.0,2890462.0,4285359.0,2140921.0,2144438.0
19,2022.0,10339111,5151859,5187252,5770201,2873492,2896709,4568910,2278367,2290543
23,2023.0,10267254,5109709,5157545,5690186,2824789,2865397,4577068,2284920,2292148
